"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS2 ID","Trade Value","HS2","Relatedness","Distance","RCA","type"
"eu","Europe","euche","Switzerland",1.9665364873,1576,3163617233,"Aluminum articles",0.1302283626,0.8697716374,0.6647906239,"Circle"
"eu","Europe","eucze","Czechia",1.5545966015,1576,2750087834,"Aluminum articles",0.3997892842,0.6002107158000001,0.9814451763,"Circle"
"eu","Europe","eudeu","Germany",1.7789988965,1576,20759462826,"Aluminum articles",0.4347116401,0.5652883599,1.0968894371,"Circle"
"eu","Europe","eudnk","Denmark",1.0070045417,1576,1441585466,"Aluminum articles",0.4915902019,0.5084097981,1.0013745254,"Circle"
"eu","Europe","euesp","Spain",0.8053553775,1576,6202149169,"Aluminum articles",0.6294603384,0.37053966159999996,1.3308276176,"Circle"
"eu","Europe","eufin","Finland",1.4119431908,1576,652461188,"Aluminum articles",0.2443526685,0.7556473315,0.6140618353,"Circle"
"eu","Europe","eufra","France",1.2983579788,1576,6788010482,"Aluminum articles",0.5599506454,0.44004935460000005,0.944395156,"Circle"
"eu","Europe","eugbr","United Kingdom",1.4164728115,1576,3749517774,"Aluminum articles",0.252091029,0.747908971,0.6757453424,"Circle"
"eu","Europe","eugrc","Greece",0.3331080153,1576,3136997022,"Aluminum articles",0.4036703391,0.5963296609,4.7606050598,"Circle"
"eu","Europe","euhrv","Croatia",0.7959330606,1576,764092828,"Aluminum articles",0.5131185163,0.48688148369999995,2.4821596467,"Circle"
"eu","Europe","euhun","Hungary",1.3786051162,1576,1834688782,"Aluminum articles",0.3226584192,0.6773415808000001,1.0664206376,"Circle"
"eu","Europe","euirl","Ireland",1.2681449514,1576,183244404,"Aluminum articles",0.1450315457,0.8549684543,0.065551764,"Circle"
"eu","Europe","euita","Italy",1.2889079733,1576,9407355247,"Aluminum articles",0.573698577,0.42630142299999996,1.2554584699,"Circle"
"eu","Europe","eultu","Lithuania",0.9252119518,1576,355230888,"Aluminum articles",0.485894146,0.514105854,0.6405665662,"Circle"
"eu","Europe","eumda","Moldova",0.0037856649,1576,17406559,"Aluminum articles",0.2766948498,0.7233051502000001,0.2980893115,"Circle"
"eu","Europe","eumkd","North Macedonia",0.2485808468,1576,30278405,"Aluminum articles",0.2885464625,0.7114535375,0.2689142704,"Circle"
"eu","Europe","eunld","Netherlands",1.1140512859,1576,8231922294,"Aluminum articles",0.4347492011,0.5652507989,1.0331033975,"Circle"
"eu","Europe","eunor","Norway",0.5406708347,1576,6017257043,"Aluminum articles",0.0778966944,0.9221033056,1.7836127326,"Circle"
"eu","Europe","eupol","Poland",0.9889632224,1576,5827903611,"Aluminum articles",0.6556323359,0.34436766409999997,1.4248055957,"Circle"
"eu","Europe","euprt","Portugal",0.5652706266,1576,960415267,"Aluminum articles",0.5695286944,0.4304713056,0.9944002109,"Circle"
"eu","Europe","eurou","Romania",1.0287830961,1576,1721427441,"Aluminum articles",0.2801534246,0.7198465754000001,1.4637713167,"Circle"
"eu","Europe","eurus","Russia",0.4292792853,1576,9574762740,"Aluminum articles",0.1948266351,0.8051733649,1.6661196019,"Circle"
"eu","Europe","eusrb","Serbia",0.7503512944,1576,619740095,"Aluminum articles",0.600377094,0.39962290600000006,1.7318491146,"Circle"
"eu","Europe","eusvk","Slovakia",1.3160181975,1576,1708988255,"Aluminum articles",0.3193146088,0.6806853911999999,1.3127768168,"Circle"
"eu","Europe","eusvn","Slovenia",1.4544327748,1576,1848249390,"Aluminum articles",0.3416372996,0.6583627004,2.7915930393,"Circle"
"eu","Europe","euswe","Sweden",1.4853255448,1576,2582316123,"Aluminum articles",0.3125548336,0.6874451664,1.1280710422,"Circle"
"eu","Europe","euukr","Ukraine",0.4999388493,1576,103645231,"Aluminum articles",0.344661699,0.655338301,0.1861680909,"Circle"
"na","North America","nacan","Canada",0.9248200801,1576,14222159726,"Aluminum articles",0.394404721,0.605595279,2.0472730127,"Circle"
"na","North America","nacri","Costa Rica",0.319683274,1576,75091988,"Aluminum articles",0.303434392,0.696565608,0.3692398458,"Circle"
"na","North America","nadom","Dominican Republic",0.0516217135,1576,128642573,"Aluminum articles",0.3627358176,0.6372641824,0.7872782949,"Circle"
"na","North America","nagtm","Guatemala",-0.1979364974,1576,143834796,"Aluminum articles",0.5201003405,0.4798996595,0.7436871405,"Circle"
"na","North America","nahnd","Honduras",-0.5229640316,1576,71157455,"Aluminum articles",0.2718356137,0.7281643863,0.4876793845,"Circle"
"na","North America","najam","Jamaica",-0.1662829693,1576,5940567,"Aluminum articles",0.2199358368,0.7800641632,0.2573725486,"Circle"
"na","North America","namex","Mexico",1.0828817696,1576,2873581687,"Aluminum articles",0.2112620934,0.7887379066,0.442970007,"Circle"
"na","North America","nanic","Nicaragua",-0.9748318289,1576,7816968,"Aluminum articles",0.2756606176,0.7243393824,0.0835070232,"Circle"
"na","North America","napan","Panama",0.1725568519,1576,79563154,"Aluminum articles",0.2312997836,0.7687002164,1.0169443658,"Circle"
"na","North America","naslv","El Salvador",-0.0289496263,1576,81672548,"Aluminum articles",0.3671918697,0.6328081302999999,0.9251193206,"Circle"
"na","North America","nausa","United States",1.4709635153,1576,14231729656,"Aluminum articles",0.3405524409,0.6594475591,0.616243579,"Circle"
"oc","Oceania","ocaus","Australia",-0.2398633583,1576,4939000809,"Aluminum articles",0.2345667086,0.7654332913999999,0.9853240773,"Circle"
"oc","Oceania","ocnzl","New Zealand",0.4604649186,1576,1086325767,"Aluminum articles",0.2612437502,0.7387562498,1.9737816934,"Circle"
"oc","Oceania","ocpng","Papua New Guinea",-1.5308418805,1576,12585420,"Aluminum articles",0.1252111394,0.8747888606,0.0690064763,"Circle"
"sa","South America","saarg","Argentina",0.0635831896,1576,928853720,"Aluminum articles",0.2665848193,0.7334151807,0.9011735949,"Circle"
"sa","South America","sabol","Bolivia",-0.8540012317,1576,16175601,"Aluminum articles",0.1886047027,0.8113952973,0.0993860288,"Circle"
"sa","South America","sabra","Brazil",0.3591338056,1576,1631232486,"Aluminum articles",0.3369399366,0.6630600634,0.4047123668,"Circle"
"sa","South America","sachl","Chile",-0.1775837442,1576,163556848,"Aluminum articles",0.2140475418,0.7859524582,0.1396875251,"Circle"
"sa","South America","sacol","Colombia",0.1146947341,1576,739851333,"Aluminum articles",0.1995726346,0.8004273654,1.0374960497,"Circle"
"sa","South America","saecu","Ecuador",-0.955415884,1576,150491303,"Aluminum articles",0.1965348066,0.8034651934,0.3538023752,"Circle"
"sa","South America","saper","Peru",-0.6018200981,1576,50790877,"Aluminum articles",0.2635988725,0.7364011275,0.0723045615,"Circle"
"sa","South America","sapry","Paraguay",-0.3384119709,1576,156180854.99999997,"Aluminum articles",0.2593683426,0.7406316574,1.3068615941,"Circle"
"sa","South America","saury","Uruguay",0.1544368859,1576,15424677,"Aluminum articles",0.2595944697,0.7404055303,0.1088350802,"Circle"
"sa","South America","saven","Venezuela",-0.8697715672,1576,384980565,"Aluminum articles",0.2486636431,0.7513363569,7.5686297814,"Circle"
1000,,,,-0.336562068,,,"Aluminum articles",0.0143268965,,,"Line"
1000,,,,-0.336562068,,,"Aluminum articles",0.6556323359,,,"Line"
